a_walk,acor_1.rho,acor_2.rho,acor_3.rho,acor_1.phi,acor_2.phi,acor_3.phi,dos.min,dos.max,dos.mean,dos.std,fdc_cor,fn_cor,n_deg.min,n_deg.max,n_deg.mean,n_deg.std,n_walk.min,n_walk.max,n_walk.mean,n_walk.std
1.396,-0.554793,0.715596,-0.550294,-0.554793,0.589134,-0.133486,0.0,3243800000.0,763791000.0,1352310000.0,-0.145366,-0.368471,0.0,29.0,3.074,8.41217,0.0,0.0,0.0,0.0
0.61,-0.708255,0.712578,-0.693316,-0.708255,0.423282,-0.250469,0.0,65.0,6.2125,4.74814,0.035074,-0.840801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.485,-0.00647802,-0.00631069,0.000819955,-0.00647802,-0.00635293,0.000737721,0.0,81.0,8.12,13.7872,-0.193886,0.70531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.684375,-0.252417,0.912595,-0.25192,-0.252417,0.906647,-0.00937365,0.0,1816970000.0,215770000.0,587776000.0,-0.0455386,-0.22238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74,-0.537654,0.791943,-0.535899,-0.537654,0.707344,-0.0872185,0.0,1348970000.0,205345000.0,479443000.0,0.276388,-0.561965,0.0,12.0,0.09,1.03533,0.0,30.0,17.9933,4.87318
1.396,-0.673054,0.77997,-0.693259,-0.673054,0.597751,-0.226921,0.0,2119020000.0,526404000.0,847600000.0,-0.227659,-0.323373,0.0,29.0,3.46,8.59607,0.0,36.0,21.3041,5.56996
0.51125,-0.991324,0.984495,-0.978947,-0.991324,0.102549,-0.0828707,0.0,65.0,5.93875,5.68001,-0.132298,-0.664336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.435,-0.994271,0.988724,-0.982974,-0.994271,0.0130787,0.020292,0.0,81.0,10.175,17.7835,-0.255045,-0.268129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6625,-0.240289,0.799798,-0.23974,-0.240289,0.78753,-0.0270274,0.0,1782040000.0,222759000.0,589352000.0,0.0224442,-0.194089,0.0,0.0,0.0,0.0,0.0,26.0,14.2998,4.17585
0.715,-0.632648,0.925973,-0.631142,-0.632648,0.876572,-0.0307754,0.0,4072240000.0,725452000.0,1548380000.0,0.286485,-0.570678,0.0,29.0,0.1025,1.56588,0.0,34.0,18.6168,4.95842
1.328,-0.317955,0.599427,-0.350546,-0.317955,0.554377,-0.143496,0.0,3674530000.0,681804000.0,1259630000.0,-0.0801154,-0.311882,0.0,29.0,3.662,8.88413,0.0,0.0,0.0,0.0
0.6,-0.397661,0.82327,-0.393912,-0.397661,0.790074,-0.0347838,0.0,12.0,5.60375,4.39252,-0.0058803,-0.839109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.595,-0.280189,0.599325,-0.280192,-0.280189,0.56519,-0.0778411,0.0,81.0,7.715,12.7958,-0.270552,-0.269389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.696875,-0.0958767,0.765095,-0.0965412,-0.0958767,0.762916,-0.0144986,0.0,2943800000.0,321983000.0,918786000.0,0.00406404,-0.0830771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,-0.175574,0.697388,-0.290437,-0.175574,0.687763,-0.257377,0.0,3492570000.0,117471000.0,398306000.0,0.270856,-0.236827,0.0,12.0,0.12,1.19398,0.0,0.0,0.0,0.0
1.41,-0.267493,0.440219,-0.39371,-0.267493,0.397078,-0.27683,0.0,1381900000.0,268934000.0,513615000.0,-0.202685,-0.37309,0.0,29.0,3.106,8.34546,0.0,0.0,0.0,0.0
1.49125,-0.804154,0.831306,-0.762492,-0.804154,0.522569,-0.0899521,0.0,65.0,5.3075,5.56533,-0.224614,-0.551598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
